ParentItemCode,ParentThickness2,ParentLength,ChildItemCode,ChildThickness2,ChildLength,ParentQty,ProcessCode,Main_Material
|0200226117|28.60|0.00|2.000|0.000,0.0,6044.0,|0101021400|0.00|0.00|0.000|87.000,2.0,0.0,1.0,CO,
|0200226117|25.40|0.00|1.600|0.000,0.0,5775.0,|0101021400|0.00|0.00|0.000|78.000,1.6,0.0,1.0,CO,
|0200226117|25.40|0.00|1.600|0.000,0.0,6052.0,|0101021400|0.00|0.00|0.000|78.000,1.6,0.0,1.0,CO,
|0200226339|40.00|20.00|1.600|0.000,0.0,428.0,|0200226339|40.00|20.00|1.600|0.000,0.0,6098.0,14.0,CM,
|0200226010|22.20|0.00|2.000|0.000,0.0,757.0,|0200226010|22.20|0.00|2.000|0.000,0.0,758.5,1.0,TO,
|0200220126|42.70|0.00|3.500|0.000,0.0,5938.0,|0101021900|0.00|0.00|0.000|127.000,3.5,0.0,1.0,CO,
|0200220126|42.70|0.00|3.500|0.000,0.0,5894.0,|0101021900|0.00|0.00|0.000|127.000,3.5,0.0,1.0,CO,
|0200220126|42.70|0.00|3.500|0.000,0.0,5962.0,|0101021900|0.00|0.00|0.000|127.000,3.5,0.0,1.0,CO,
|0200226240|22.20|0.00|1.600|0.000,0.0,348.0,|0200226240|22.20|0.00|1.600|0.000,0.0,6029.0,17.0,CT,
|0200226240|25.40|0.00|2.300|0.000,0.0,433.0,|0200226240|25.40|0.00|2.300|0.000,0.0,6149.0,14.0,CT,
|0200220139|60.50|0.00|2.000|0.000,0.0,1061.5,|0200220139|60.50|0.00|2.000|0.000,0.0,5360.0,5.0,CT,
|0200220139|60.50|0.00|2.000|0.000,0.0,1060.0,|0200220139|60.50|0.00|2.000|0.000,0.0,1061.5,1.0,TO,
|0200220139|22.20|0.00|2.000|0.000,0.0,379.0,|0200220139|22.20|0.00|2.000|0.000,0.0,5758.0,15.0,CT,
|0200220139|22.20|0.00|2.000|0.000,0.0,353.0,|0200220139|22.20|0.00|2.000|0.000,0.0,5723.0,16.0,CM,
|0200220139|22.20|0.00|2.000|0.000,0.0,366.0,|0200220139|22.20|0.00|2.000|0.000,0.0,5931.0,16.0,CM,
|0200220139|25.40|0.00|1.600|0.000,0.0,845.0,|0200220139|25.40|0.00|1.600|0.000,0.0,5974.0,7.0,CM,
|0200220139|25.40|0.00|1.600|0.000,0.0,5974.0,|0101022000|0.00|0.00|0.000|78.000,1.6,0.0,1.0,CO,
|0200220810|19.10|0.00|1.600|0.000,0.0,5919.0,|0101021700|0.00|0.00|0.000|58.000,1.6,0.0,1.0,CO,
|0200220810|19.10|0.00|1.600|0.000,0.0,450.0,|0200220810|19.10|0.00|1.600|0.000,0.0,5919.0,13.0,CM,
|0200220810|38.10|0.00|2.600|0.000,0.0,476.2,|0200220810|38.10|0.00|2.600|0.000,0.0,6260.0,13.0,CM,
|0200220810|38.10|0.00|2.600|0.000,0.0,687.7,|0200220810|38.10|0.00|2.600|0.000,0.0,6260.0,9.0,CM,
|0200220800|19.10|0.00|1.200|0.000,0.0,520.0,|0200230841|19.10|0.00|1.200|0.000,0.0,5353.0,10.0,CM,
