ID,ItemNo,CUSTOMER_CODE,CUSTOMER_GROUP,ITEM_CODE,DLV_PLACE,Model,PartNo,PartName,MaterialCode,MaterialName,SURFACE_CODE,COLOR_CODE,LENGTH,PROCESSING_CODE,SpecialReq,Commodity,SymbolItem,QualityInf,Other,Rate,HideInCUS030,ReqForDLV,ModifyDate,QRCodeInfo1,QRCodeCus,ApplyDate_QRCode,INV_DV,LockItem,INPUT_DATE,INPUT_PERSON,MODIFY_DATE,MODIFY_PERSON,DIAMETER1,DIAMETER2,THICKNESS,SurfaceName,ColorName,ProcessName,Size,QUANTITY,TOLERANCE,isUsed
1,1,C07001,HONDA,|0200220139|31.80|0.00|2.600|0.000, NL03 ,,,,01,STKM11A,03,01,5300.0,08,,,E-G,,,0.0,False,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-11-30 09:31:10,ID02,31.8,0.0,2.6,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),31.8 x 2.6,91.0,+1.0 mm*+15 mm,0
25,1,C07008,YAMAHA,|0200220139|38.10|0.00|2.000|0.000,,,,,01,STKM11A,03,00,390.0,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-02-03 10:35:17,id02,38.1,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,38.1 x 2.0,800.0,+0.5 mm*-0.5 mm,0
26,1,C07032,HONDA,|0200226010|60.50|0.00|2.300|0.000,KKTL,K1FA.K1GA,50124-K59-A100-AA,PIPE MAIN,60,STAM390G,03,01,744.4,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-12-18 09:23:09,id02,60.5,0.0,2.3,"Pickled and Oiled,Hot rolled steel",IBC,Brushing,60.5 x 2.3,100.0,+0.5 mm*-0.5 mm,0
27,1,C07038,TTVN,|0200226642|25.40|0.00|1.600|0.000,TBHN,,72422-X1300,CH-168,66,STKM17AM,03,00,409.4,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,E8|CH-168|72422-X1300,E8|CH-168|72422-X1300|50||Vietnam|Common|||pcs||LCL|SUNSCO|null|1|null|null|null|VN|,2022-08-15,,False,2020-12-01 00:00:00,7777,2023-08-02 11:05:41,id02,25.4,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,25.4 x 1.6,50.0,+0.3 mm*-0.3 mm,0
37,1,C07002,YAMAHA,|0200226339|40.00|20.00|1.600|0.000, PS1 ,,16S-F2130-00-000Y, ARM RR1 ,63,STKMRR290,03,00,444.5,09,,,E-G,,,0.0,False,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-11-14 16:27:30,id02,40.0,20.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Grind Face,40 x 20 x 1.6,500.0,+0.5 mm*-0.5 mm,0
38,1,C07046,HONDA,|0200220810|25.40|0.00|2.600|0.000,,,75654-T9R -3000-020R,"PIPE, RR BEAM MATERIAL",08,STKM13A,03,01,1010.0,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,"E8|PIPE, RR BEAM MATERIAL|75654-T9R -3000-020R",,,,False,2020-12-01 00:00:00,7777,2023-10-09 15:22:46,id12,25.4,0.0,2.6,"Pickled and Oiled,Hot rolled steel",IBC,Brushing,25.4 x 2.6,300.0,+0.75 mm*-0.75mm,0
39,1,C07295,OTHER,|0200220139|22.20|0.00|1.600|0.000,,,,,01,STKM11A,03,00,287.5,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,E8||,,,,False,2020-12-01 00:00:00,7777,2023-10-31 13:42:07,id02,22.2,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,22.2 x 1.6,0.0,,0
232,1,C07005,YAMAHA,|0200230120|19.10|0.00|1.000|0.000,SHVN,,,,01,STKM11A,01,00,5800.0,08,,,E-G,,,0.0,False,,2021-01-12 00:00:00,,,,,False,2021-01-12 10:17:23,id12,2023-10-27 14:43:47,id02,19.1,0.0,1.0,Cold  Rolled Steel ,NBC,Piping(Pre-End),19.1 x 1.0,169.0,+1.0 mm*+15.0 mm,0
249,1,C07031,HONDA,|0200226010|19.10|0.00|1.400|0.000,SPUTNIK,,,,60,STAM390G,03,00,5420.0,08,,,E-G,,,0.0,True,,2021-01-12 00:00:00,,,,,False,2021-01-12 11:04:50,id12,2023-11-20 14:58:10,id02,19.1,0.0,1.4,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),19.1 x 1.4,217.0,- 0.0 mm*+15.0 mm,0
276,1,C07010,HONDA,|0200230742|25.00|55.00|1.600|0.000,,,,,07,HSST590C,01,01,5780.0,04,,,E-G,,,0.0,False,,2021-01-12 00:00:00,,,,,False,2021-01-12 11:11:01,id12,2023-05-11 10:17:21,id02,25.0,55.0,1.6,Cold  Rolled Steel ,IBC,As Cut,25 x 55 x 1.6,72.0,-0.0 mm*+15.0 mm,0
277,1,C07011,HONDA,|0200220139|31.80|0.00|2.600|0.000,NM 1,,,,01,STKM11A,03,01,5950.0,08,,,E-G,,,0.0,False,,2021-01-12 00:00:00,,,,,False,2021-01-12 11:19:21,id12,2023-10-31 13:42:55,id02,31.8,0.0,2.6,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),31.8 x 2.6,127.0,+1.0 mm*+15 mm,0
284,1,C07025,,|0200220810|34.00|0.00|2.600|0.000,,,,,08,STKM13A,03,01,5850.0,08,,,E-G,,,0.0,True,,2021-01-12 00:00:00,,,,,False,2021-01-12 11:26:21,id12,2023-04-12 08:38:20,id02,34.0,0.0,2.6,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),34 x 2.6,91.0,+15 mm*- 0.0mm,0
303,1,C07042,HONDA,|0200226010|48.60|0.00|3.500|0.000,MFVN,K29-TC,,,60,STAM390G,03,01,5400.0,08,,,E-G,,,0.0,False,,2021-01-12 00:00:00,,,,,False,2021-01-12 13:05:51,id12,2023-06-07 15:35:25,ID02,48.6,0.0,3.5,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),48.6 x 3.5,44.0,- 0.0 mm*+ 15 mm,0
296,1,C07037,HONDA,|0200225939|19.10|0.00|2.300|0.000,EMTC,K1FA,"50530-K1FA-V000-XA
",Pipe,59,STAM290GA,03,00,5500.0,08,,,E-G,,,0.0,False,,2021-01-12 00:00:00,"E8|Pipe|50530-K1FA-V000-XA
",,,,False,2021-01-12 11:42:09,id12,2023-05-11 10:04:51,id02,19.1,0.0,2.3,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),19.1 x 2.3,169.0,-0.0 mm*+15.0 mm,0
