ITEM_CODE,ITEM_NAME_V,ITEM_GROUP1,ITEM_GROUP2,ITEM_GROUP3,ITEM_GROUP4,ITEM_GROUP5,GROUP15,DIAMETER1,DIAMETER2,THICKNESS,WIDTH,INV_DV
|0101011100|0.00|0.00|0.000|100.000,coil SLIT COIL  MP1,01,01,01,11,00,0101011100,0.0,0.0,0.0,100.0,
|0101011100|0.00|0.00|0.000|184.000,coil SLIT COIL  MP1,01,01,01,11,00,0101011100,0.0,0.0,0.0,184.0,
|0101011100|0.00|0.00|0.000|232.000,coil SLIT COIL  MP1,01,01,01,11,00,0101011100,0.0,0.0,0.0,232.0,
"|0101011300|0.00|0.00|0.000|1,185.000",coil COIL  MP2,01,01,01,13,00,0101011300,0.0,0.0,0.0,1185.0,
|0101011300|0.00|0.00|0.000|104.000,coil SLIT COIL  MP2,01,01,01,13,00,0101011300,0.0,0.0,0.0,104.0,
|0101011300|0.00|0.00|0.000|174.000,coil SLIT COIL  MP2,01,01,01,13,00,0101011300,0.0,0.0,0.0,174.0,
|0101011300|0.00|0.00|0.000|236.000,coil SLIT COIL  MP2,01,01,01,13,00,0101011300,0.0,0.0,0.0,236.0,
|0101011300|0.00|0.00|0.000|287.000,coil SLIT COIL  MP2,01,01,01,13,00,0101011300,0.0,0.0,0.0,287.0,
|0101011300|0.00|0.00|0.000|292.000,coil SLIT COIL  MP2,01,01,01,13,00,0101011300,0.0,0.0,0.0,292.0,
|0101011700|0.00|0.00|0.000|66.000,coil SLIT COIL  MP38,01,01,01,17,00,0101011700,0.0,0.0,0.0,66.0,
|0101011700|0.00|0.00|0.000|66.500,coil SLIT COIL  MP38,01,01,01,17,00,0101011700,0.0,0.0,0.0,66.5,*
|0101011700|0.00|0.00|0.000|940.000,coil COIL  MP38,01,01,01,17,00,0101011700,0.0,0.0,0.0,940.0,
"|0101020800|0.00|0.00|0.000|1,177.000",PO COIL  SPHT-3,01,01,02,08,00,0101020800,0.0,0.0,0.0,1177.0,
|0101020800|0.00|0.00|0.000|103.000,PO SLIT COIL  SPHT-3,01,01,02,08,00,0101020800,0.0,0.0,0.0,103.0,
|0101020800|0.00|0.00|0.000|148.500,PO SLIT COIL  SPHT-3,01,01,02,08,00,0101020800,0.0,0.0,0.0,148.5,
|0101021100|0.00|0.00|0.000|103.000,PO SLIT COIL  MP1,01,01,02,11,00,0101021100,0.0,0.0,0.0,103.0,
|0101021100|0.00|0.00|0.000|67.000,PO SLIT COIL  MP1,01,01,02,11,00,0101021100,0.0,0.0,0.0,67.0,
"|0101021400|0.00|0.00|0.000|1,050.000",PO COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,1050.0,
"|0101021400|0.00|0.00|0.000|1,051.000",PO COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,1051.0,
|0101021400|0.00|0.00|0.000|117.500,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,117.5,
|0101021400|0.00|0.00|0.000|118.000,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,118.0,
|0101021400|0.00|0.00|0.000|138.000,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,138.0,
|0101021400|0.00|0.00|0.000|147.000,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,147.0,
|0101021400|0.00|0.00|0.000|48.500,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,48.5,
|0101021400|0.00|0.00|0.000|57.000,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,57.0,
|0101021400|0.00|0.00|0.000|58.000,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,58.0,
|0101021400|0.00|0.00|0.000|66.000,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,66.0,
|0101021400|0.00|0.00|0.000|67.000,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,67.0,
|0101021400|0.00|0.00|0.000|67.500,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,67.5,
|0101021400|0.00|0.00|0.000|699.000,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,699.0,
|0101021400|0.00|0.00|0.000|708.000,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,708.0,
|0101021400|0.00|0.00|0.000|727.000,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,727.0,
|0101021400|0.00|0.00|0.000|77.000,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,77.0,
|0101021400|0.00|0.00|0.000|78.000,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,78.0,
|0101021400|0.00|0.00|0.000|833.500,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,833.5,
|0101021400|0.00|0.00|0.000|87.000,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,87.0,
|0101021400|0.00|0.00|0.000|872.500,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,872.5,*
|0101021400|0.00|0.00|0.000|940.000,PO COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,940.0,
|0101021400|0.00|0.00|0.000|941.000,PO COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,941.0,
|0101021400|0.00|0.00|0.000|950.000,PO COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,950.0,
|0101021400|0.00|0.00|0.000|953.000,PO COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,953.0,*
|0101021400|0.00|0.00|0.000|97.000,PO SLIT COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,97.0,
|0101021400|0.00|0.00|0.000|975.000,PO COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,975.0,
|0101021400|0.00|0.00|0.000|976.000,PO COIL  MP3,01,01,02,14,00,0101021400,0.0,0.0,0.0,976.0,
"|0101021700|0.00|0.00|0.000|1,000.000",PO COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,1000.0,
"|0101021700|0.00|0.00|0.000|1,030.000",PO COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,1030.0,
"|0101021700|0.00|0.00|0.000|1,040.000",PO COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,1040.0,
"|0101021700|0.00|0.00|0.000|1,050.000",PO COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,1050.0,
"|0101021700|0.00|0.00|0.000|1,120.000",PO COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,1120.0,
"|0101021700|0.00|0.00|0.000|1,130.000",PO COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,1130.0,
"|0101021700|0.00|0.00|0.000|1,160.000",PO COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,1160.0,
"|0101021700|0.00|0.00|0.000|1,219.000",PO COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,1219.0,
|0101021700|0.00|0.00|0.000|101.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,101.5,
|0101021700|0.00|0.00|0.000|103.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,103.0,
|0101021700|0.00|0.00|0.000|103.500,PO COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,103.5,*
|0101021700|0.00|0.00|0.000|104.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,104.0,
|0101021700|0.00|0.00|0.000|104.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,104.5,
|0101021700|0.00|0.00|0.000|105.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,105.0,
|0101021700|0.00|0.00|0.000|114.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,114.0,
|0101021700|0.00|0.00|0.000|115.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,115.0,
|0101021700|0.00|0.00|0.000|115.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,115.5,
|0101021700|0.00|0.00|0.000|116.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,116.0,
|0101021700|0.00|0.00|0.000|116.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,116.5,
|0101021700|0.00|0.00|0.000|117.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,117.0,
|0101021700|0.00|0.00|0.000|123.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,123.5,
|0101021700|0.00|0.00|0.000|124.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,124.0,
|0101021700|0.00|0.00|0.000|125.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,125.0,
|0101021700|0.00|0.00|0.000|127.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,127.0,
|0101021700|0.00|0.00|0.000|127.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,127.5,*
|0101021700|0.00|0.00|0.000|129.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,129.0,
|0101021700|0.00|0.00|0.000|130.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,130.0,
|0101021700|0.00|0.00|0.000|131.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,131.0,
|0101021700|0.00|0.00|0.000|132.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,132.0,
|0101021700|0.00|0.00|0.000|132.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,132.5,
|0101021700|0.00|0.00|0.000|135.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,135.5,
|0101021700|0.00|0.00|0.000|136.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,136.0,
|0101021700|0.00|0.00|0.000|138.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,138.0,
|0101021700|0.00|0.00|0.000|139.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,139.0,
|0101021700|0.00|0.00|0.000|146.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,146.5,
|0101021700|0.00|0.00|0.000|147.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,147.5,
|0101021700|0.00|0.00|0.000|148.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,148.0,
|0101021700|0.00|0.00|0.000|148.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,148.5,
|0101021700|0.00|0.00|0.000|150.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,150.5,
|0101021700|0.00|0.00|0.000|155.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,155.0,
|0101021700|0.00|0.00|0.000|164.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,164.0,
|0101021700|0.00|0.00|0.000|164.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,164.5,
|0101021700|0.00|0.00|0.000|166.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,166.0,
|0101021700|0.00|0.00|0.000|186.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,186.0,
|0101021700|0.00|0.00|0.000|187.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,187.0,
|0101021700|0.00|0.00|0.000|187.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,187.5,
|0101021700|0.00|0.00|0.000|188.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,188.0,
|0101021700|0.00|0.00|0.000|39.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,39.0,
|0101021700|0.00|0.00|0.000|47.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,47.5,
|0101021700|0.00|0.00|0.000|48.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,48.5,
|0101021700|0.00|0.00|0.000|52.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,52.0,
|0101021700|0.00|0.00|0.000|53.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,53.0,
|0101021700|0.00|0.00|0.000|53.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,53.5,
|0101021700|0.00|0.00|0.000|56.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,56.5,
|0101021700|0.00|0.00|0.000|57.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,57.0,
|0101021700|0.00|0.00|0.000|58.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,58.0,
|0101021700|0.00|0.00|0.000|58.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,58.5,
|0101021700|0.00|0.00|0.000|607.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,607.5,
|0101021700|0.00|0.00|0.000|622.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,622.5,
|0101021700|0.00|0.00|0.000|64.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,64.0,
|0101021700|0.00|0.00|0.000|64.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,64.5,
|0101021700|0.00|0.00|0.000|65.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,65.0,
|0101021700|0.00|0.00|0.000|65.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,65.5,
|0101021700|0.00|0.00|0.000|66.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,66.0,
|0101021700|0.00|0.00|0.000|66.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,66.5,
|0101021700|0.00|0.00|0.000|67.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,67.0,
|0101021700|0.00|0.00|0.000|67.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,67.5,
|0101021700|0.00|0.00|0.000|670.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,670.0,
|0101021700|0.00|0.00|0.000|68.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,68.0,
|0101021700|0.00|0.00|0.000|718.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,718.0,
|0101021700|0.00|0.00|0.000|722.000,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,722.0,
|0101021700|0.00|0.00|0.000|75.500,PO SLIT COIL  MP38,01,01,02,17,00,0101021700,0.0,0.0,0.0,75.5,
