CUSTOMER_CODE,ITEM_CODE,GROUP_CODE,GROUP_NAME,DIAMETER1,DIAMETER2,THICKNESS,LENGTH,BeatCut,TotalLast_StockOut,TotalStockOut,HisStockOut,StockOut,TotalCurrentStock,TotalPln,PlnQty,future_Stock,ikey
,|0101030100|0.00|0.00|0.000|119.000,01,JFE-CC,0.0,0.0,0.0,0.0,NBC,,,,,1988.0,,,1988.0,01xJFE-CCx0x0x0x0
,|0101030100|0.00|0.00|0.000|141.000,01,JFE-CC,0.0,0.0,0.0,0.0,NBC,,,,,0.0,,,0.0,01xJFE-CCx0x0x0x0
,|0101030100|0.00|0.00|0.000|49.000,01,JFE-CC,0.0,0.0,0.0,0.0,NBC,,,,,1738.0,,,1738.0,01xJFE-CCx0x0x0x0
,|0101030100|0.00|0.00|0.000|59.000,01,JFE-CC,0.0,0.0,0.0,0.0,NBC,,,,,988.0,,,988.0,01xJFE-CCx0x0x0x0
,|0101030100|0.00|0.00|0.000|69.500,01,JFE-CC,0.0,0.0,0.0,0.0,NBC,,,,,2458.0,,,2458.0,01xJFE-CCx0x0x0x0
,|0101030100|0.00|0.00|0.000|713.000,01,JFE-CC,0.0,0.0,0.0,0.0,NBC,,,,,12644.0,,,12644.0,01xJFE-CCx0x0x0x0
,|0101030100|0.00|0.00|0.000|854.000,01,JFE-CC,0.0,0.0,0.0,0.0,NBC,,,,,0.0,,,0.0,01xJFE-CCx0x0x0x0
,|0101030100|0.00|0.00|0.000|89.000,01,JFE-CC,0.0,0.0,0.0,0.0,NBC,,,,,5954.0,,,5954.0,01xJFE-CCx0x0x0x0
C07002,|0200220139|12.70|0.00|1.600|0.000,01,STKM11A,12.7,0.0,1.6,411.8,NBC,1962.0,2.0,1962.0,2.0,1232.0,180.0,180.0,1052.0,01xSTKM11Ax12.7x0x1.6x411.8
,|0200220139|12.70|0.00|1.600|0.000,01,STKM11A,12.7,0.0,1.6,5490.0,NBC,,,,,232.0,,,232.0,01xSTKM11Ax12.7x0x1.6x5490
,|0200220139|12.70|0.00|2.000|0.000,01,STKM11A,12.7,0.0,2.0,280.5,NBC,,,,,902.0,,,902.0,01xSTKM11Ax12.7x0x2x280.5
,|0200220139|12.70|0.00|2.000|0.000,01,STKM11A,12.7,0.0,2.0,4870.0,NBC,,,,,933.0,,,933.0,01xSTKM11Ax12.7x0x2x4870
C07002,|0200220103|13.80|0.00|1.600|0.000,01,STKM11A,13.8,0.0,1.6,120.0,NBC,1.0,,1.0,0.0,240.0,,,240.0,01xSTKM11Ax13.8x0x1.6x120
