,ITEM_CODE,DIAMETER1,DIAMETER2,THICKNESS,WIDTH,SHORT_NAME
0,|0101011100|0.00|0.00|0.000|100.000,0.0,0.0,0.0,100.0,MP1
2,|0101011100|0.00|0.00|0.000|184.000,0.0,0.0,0.0,184.0,MP1
4,|0101011100|0.00|0.00|0.000|232.000,0.0,0.0,0.0,232.0,MP1
6,"|0101011300|0.00|0.00|0.000|1,185.000",0.0,0.0,0.0,1185.0,MP2
8,|0101011300|0.00|0.00|0.000|104.000,0.0,0.0,0.0,104.0,MP2
10,|0101011300|0.00|0.00|0.000|174.000,0.0,0.0,0.0,174.0,MP2
12,|0101011300|0.00|0.00|0.000|236.000,0.0,0.0,0.0,236.0,MP2
14,|0101011300|0.00|0.00|0.000|287.000,0.0,0.0,0.0,287.0,MP2
16,|0101011300|0.00|0.00|0.000|292.000,0.0,0.0,0.0,292.0,MP2
18,|0101011700|0.00|0.00|0.000|66.000,0.0,0.0,0.0,66.0,MP38
20,|0101011700|0.00|0.00|0.000|940.000,0.0,0.0,0.0,940.0,MP38
22,"|0101020800|0.00|0.00|0.000|1,177.000",0.0,0.0,0.0,1177.0,SPHT-3
24,|0101020800|0.00|0.00|0.000|103.000,0.0,0.0,0.0,103.0,SPHT-3
26,|0101020800|0.00|0.00|0.000|148.500,0.0,0.0,0.0,148.5,SPHT-3
28,|0101021100|0.00|0.00|0.000|103.000,0.0,0.0,0.0,103.0,MP1
30,|0101021100|0.00|0.00|0.000|67.000,0.0,0.0,0.0,67.0,MP1
32,"|0101021400|0.00|0.00|0.000|1,050.000",0.0,0.0,0.0,1050.0,MP3
34,"|0101021400|0.00|0.00|0.000|1,051.000",0.0,0.0,0.0,1051.0,MP3
36,|0101021400|0.00|0.00|0.000|117.500,0.0,0.0,0.0,117.5,MP3
38,|0101021400|0.00|0.00|0.000|118.000,0.0,0.0,0.0,118.0,MP3
40,|0101021400|0.00|0.00|0.000|138.000,0.0,0.0,0.0,138.0,MP3
42,|0101021400|0.00|0.00|0.000|147.000,0.0,0.0,0.0,147.0,MP3
44,|0101021400|0.00|0.00|0.000|48.500,0.0,0.0,0.0,48.5,MP3
46,|0101021400|0.00|0.00|0.000|57.000,0.0,0.0,0.0,57.0,MP3
48,|0101021400|0.00|0.00|0.000|58.000,0.0,0.0,0.0,58.0,MP3
50,|0101021400|0.00|0.00|0.000|66.000,0.0,0.0,0.0,66.0,MP3
52,|0101021400|0.00|0.00|0.000|67.000,0.0,0.0,0.0,67.0,MP3
54,|0101021400|0.00|0.00|0.000|67.500,0.0,0.0,0.0,67.5,MP3
56,|0101021400|0.00|0.00|0.000|699.000,0.0,0.0,0.0,699.0,MP3
58,|0101021400|0.00|0.00|0.000|708.000,0.0,0.0,0.0,708.0,MP3
60,|0101021400|0.00|0.00|0.000|727.000,0.0,0.0,0.0,727.0,MP3
62,|0101021400|0.00|0.00|0.000|77.000,0.0,0.0,0.0,77.0,MP3
64,|0101021400|0.00|0.00|0.000|78.000,0.0,0.0,0.0,78.0,MP3
66,|0101021400|0.00|0.00|0.000|833.500,0.0,0.0,0.0,833.5,MP3
68,|0101021400|0.00|0.00|0.000|87.000,0.0,0.0,0.0,87.0,MP3
70,|0101021400|0.00|0.00|0.000|940.000,0.0,0.0,0.0,940.0,MP3
72,|0101021400|0.00|0.00|0.000|941.000,0.0,0.0,0.0,941.0,MP3
74,|0101021400|0.00|0.00|0.000|950.000,0.0,0.0,0.0,950.0,MP3
76,|0101021400|0.00|0.00|0.000|97.000,0.0,0.0,0.0,97.0,MP3
78,|0101021400|0.00|0.00|0.000|975.000,0.0,0.0,0.0,975.0,MP3
80,|0101021400|0.00|0.00|0.000|976.000,0.0,0.0,0.0,976.0,MP3
82,"|0101021700|0.00|0.00|0.000|1,000.000",0.0,0.0,0.0,1000.0,MP38
84,"|0101021700|0.00|0.00|0.000|1,030.000",0.0,0.0,0.0,1030.0,MP38
86,"|0101021700|0.00|0.00|0.000|1,040.000",0.0,0.0,0.0,1040.0,MP38
88,"|0101021700|0.00|0.00|0.000|1,050.000",0.0,0.0,0.0,1050.0,MP38
90,"|0101021700|0.00|0.00|0.000|1,120.000",0.0,0.0,0.0,1120.0,MP38
92,"|0101021700|0.00|0.00|0.000|1,130.000",0.0,0.0,0.0,1130.0,MP38
94,"|0101021700|0.00|0.00|0.000|1,160.000",0.0,0.0,0.0,1160.0,MP38
96,"|0101021700|0.00|0.00|0.000|1,219.000",0.0,0.0,0.0,1219.0,MP38
98,|0101021700|0.00|0.00|0.000|101.500,0.0,0.0,0.0,101.5,MP38
100,|0101021700|0.00|0.00|0.000|103.000,0.0,0.0,0.0,103.0,MP38
102,|0101021700|0.00|0.00|0.000|104.000,0.0,0.0,0.0,104.0,MP38
104,|0101021700|0.00|0.00|0.000|104.500,0.0,0.0,0.0,104.5,MP38
106,|0101021700|0.00|0.00|0.000|105.000,0.0,0.0,0.0,105.0,MP38
108,|0101021700|0.00|0.00|0.000|114.000,0.0,0.0,0.0,114.0,MP38
110,|0101021700|0.00|0.00|0.000|115.000,0.0,0.0,0.0,115.0,MP38
112,|0101021700|0.00|0.00|0.000|115.500,0.0,0.0,0.0,115.5,MP38
114,|0101021700|0.00|0.00|0.000|116.000,0.0,0.0,0.0,116.0,MP38
116,|0101021700|0.00|0.00|0.000|116.500,0.0,0.0,0.0,116.5,MP38
118,|0101021700|0.00|0.00|0.000|117.000,0.0,0.0,0.0,117.0,MP38
120,|0101021700|0.00|0.00|0.000|123.500,0.0,0.0,0.0,123.5,MP38
122,|0101021700|0.00|0.00|0.000|124.000,0.0,0.0,0.0,124.0,MP38
124,|0101021700|0.00|0.00|0.000|125.000,0.0,0.0,0.0,125.0,MP38
126,|0101021700|0.00|0.00|0.000|127.000,0.0,0.0,0.0,127.0,MP38
128,|0101021700|0.00|0.00|0.000|129.000,0.0,0.0,0.0,129.0,MP38
130,|0101021700|0.00|0.00|0.000|130.000,0.0,0.0,0.0,130.0,MP38
132,|0101021700|0.00|0.00|0.000|131.000,0.0,0.0,0.0,131.0,MP38
134,|0101021700|0.00|0.00|0.000|132.000,0.0,0.0,0.0,132.0,MP38
136,|0101021700|0.00|0.00|0.000|132.500,0.0,0.0,0.0,132.5,MP38
138,|0101021700|0.00|0.00|0.000|135.500,0.0,0.0,0.0,135.5,MP38
140,|0101021700|0.00|0.00|0.000|136.000,0.0,0.0,0.0,136.0,MP38
142,|0101021700|0.00|0.00|0.000|138.000,0.0,0.0,0.0,138.0,MP38
144,|0101021700|0.00|0.00|0.000|139.000,0.0,0.0,0.0,139.0,MP38
146,|0101021700|0.00|0.00|0.000|146.500,0.0,0.0,0.0,146.5,MP38
148,|0101021700|0.00|0.00|0.000|147.500,0.0,0.0,0.0,147.5,MP38
150,|0101021700|0.00|0.00|0.000|148.000,0.0,0.0,0.0,148.0,MP38
152,|0101021700|0.00|0.00|0.000|148.500,0.0,0.0,0.0,148.5,MP38
154,|0101021700|0.00|0.00|0.000|150.500,0.0,0.0,0.0,150.5,MP38
156,|0101021700|0.00|0.00|0.000|155.000,0.0,0.0,0.0,155.0,MP38
158,|0101021700|0.00|0.00|0.000|164.000,0.0,0.0,0.0,164.0,MP38
160,|0101021700|0.00|0.00|0.000|164.500,0.0,0.0,0.0,164.5,MP38
162,|0101021700|0.00|0.00|0.000|166.000,0.0,0.0,0.0,166.0,MP38
164,|0101021700|0.00|0.00|0.000|186.000,0.0,0.0,0.0,186.0,MP38
166,|0101021700|0.00|0.00|0.000|187.000,0.0,0.0,0.0,187.0,MP38
168,|0101021700|0.00|0.00|0.000|187.500,0.0,0.0,0.0,187.5,MP38
170,|0101021700|0.00|0.00|0.000|188.000,0.0,0.0,0.0,188.0,MP38
172,|0101021700|0.00|0.00|0.000|39.000,0.0,0.0,0.0,39.0,MP38
174,|0101021700|0.00|0.00|0.000|47.500,0.0,0.0,0.0,47.5,MP38
176,|0101021700|0.00|0.00|0.000|48.500,0.0,0.0,0.0,48.5,MP38
178,|0101021700|0.00|0.00|0.000|52.000,0.0,0.0,0.0,52.0,MP38
180,|0101021700|0.00|0.00|0.000|53.000,0.0,0.0,0.0,53.0,MP38
182,|0101021700|0.00|0.00|0.000|53.500,0.0,0.0,0.0,53.5,MP38
