,CUSTOMER_CODE,CUSTOMER_GROUP,ITEM_CODE,Model,MaterialName,DIAMETER1,DIAMETER2,THICKNESS,LENGTH,ColorName,ProcessName,SurfaceName,INV_DV,HideInCUS030
0,C07001,HONDA,|0200220139|31.80|0.00|2.600|0.000,,STKM11A,31.8,0.0,2.6,5300.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
1,C07008,YAMAHA,|0200220139|38.10|0.00|2.000|0.000,,STKM11A,38.1,0.0,2.0,390.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
2,C07032,HONDA,|0200226010|60.50|0.00|2.300|0.000,K1FA.K1GA,STAM390G,60.5,0.0,2.3,744.4,IBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
3,C07038,TTVN,|0200226642|25.40|0.00|1.600|0.000,,STKM17AM,25.4,0.0,1.6,409.4,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
4,C07002,YAMAHA,|0200226339|40.00|20.00|1.600|0.000,,STKMRR290,40.0,20.0,1.6,444.5,NBC,Grind Face,"Pickled and Oiled,Hot rolled steel",,False
5,C07046,HONDA,|0200220810|25.40|0.00|2.600|0.000,,STKM13A,25.4,0.0,2.6,1010.0,IBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
6,C07295,OTHER,|0200220139|22.20|0.00|1.600|0.000,,STKM11A,22.2,0.0,1.6,287.5,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
7,C07005,YAMAHA,|0200230120|19.10|0.00|1.000|0.000,,STKM11A,19.1,0.0,1.0,5800.0,NBC,Piping(Pre-End),Cold  Rolled Steel ,,False
9,C07010,HONDA,|0200230742|25.00|55.00|1.600|0.000,,HSST590C,25.0,55.0,1.6,5780.0,IBC,As Cut,Cold  Rolled Steel ,,False
10,C07011,HONDA,|0200220139|31.80|0.00|2.600|0.000,,STKM11A,31.8,0.0,2.6,5950.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
12,C07042,HONDA,|0200226010|48.60|0.00|3.500|0.000,K29-TC,STAM390G,48.6,0.0,3.5,5400.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
13,C07037,HONDA,|0200225939|19.10|0.00|2.300|0.000,K1FA,STAM290GA,19.1,0.0,2.3,5500.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
14,C07037,HONDA,|0200226010|19.10|0.00|2.000|0.000,K0R,STAM390G,19.1,0.0,2.0,5900.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
19,C07019,,|0200230841|38.10|0.00|1.200|0.000,,STKM13A,38.1,0.0,1.2,5000.0,NBC,Piping(Pre-End),Cold  Rolled Steel ,,False
21,C07027,HONDA,|0200230120|35.00|0.00|1.200|0.000,,STKM11A,35.0,0.0,1.2,5800.0,IBC,Piping(Pre-End),Cold  Rolled Steel ,,False
23,C07035,,|0200230119|22.20|0.00|1.200|0.000,,STKM11A,22.2,0.0,1.2,5800.0,IBC,Piping(Pre-End),Cold  Rolled Steel ,,False
25,C07047,,|0200226010|19.10|0.00|2.000|0.000,,STAM390G,19.1,0.0,2.0,900.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
26,C07048,VINFAST,|0200220139|22.20|0.00|1.600|0.000,,STKM11A,22.2,0.0,1.6,600.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
27,C07045,HONDA,|0200226010|34.00|0.00|2.600|0.000,,STAM390G,34.0,0.0,2.6,5850.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
28,C07052,OTHER,|0200220139|22.20|0.00|1.600|0.000,,STKM11A,22.2,0.0,1.6,5503.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
29,C07049,VINFAST,|0200226010|22.20|0.00|2.000|0.000,,STAM390G,22.2,0.0,2.0,6370.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
31,C07053,,|0200226339|50.00|30.00|1.600|0.000,,STKMRR290,50.0,30.0,1.6,6350.0,NBC,As Cut,"Pickled and Oiled,Hot rolled steel",,False
34,C07056,HONDA,|0200225939|19.10|0.00|2.300|0.000,,STAM290GA,19.1,0.0,2.3,6000.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
36,C07058,OTHER,|0200226010|25.40|0.00|2.000|0.000,YEDEAR,STAM390G,25.4,0.0,2.0,6372.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
37,C07056,OTHER,|0200226010|25.40|0.00|1.600|0.000,YEADER,STAM390G,25.4,0.0,1.6,5763.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
39,C07035,VINFAST,|0200226010|28.60|0.00|2.000|0.000,,STAM390G,28.6,0.0,2.0,5500.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
40,C07053,,|0200210911|125.00|75.00|3.200|0.000,,STKR400,125.0,75.0,3.2,4100.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
41,C07052,OTHER,|0200220139|15.90|0.00|2.300|0.000,,STKM11A,15.9,0.0,2.3,6161.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
42,C07037,HONDA,|0200226010|19.10|0.00|2.000|0.000,K2TA,STAM390G,19.1,0.0,2.0,5800.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
44,C07050,VINFAST,|0200226339|40.00|20.00|2.300|0.000,VF,STKMRR290,40.0,20.0,2.3,200.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
45,C07049,VINFAST,|0200226010|22.20|0.00|2.000|0.000,,STAM390G,22.2,0.0,2.0,5500.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
47,C07045,HONDA,|0200225900|15.00|10.30|2.350|0.000,,STAM290GA,15.0,10.3,2.35,5700.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
48,C07048,VINFAST,|0200220139|22.20|0.00|1.600|0.000,,STKM11A,22.2,0.0,1.6,950.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
50,C07042,HONDA,|0200225926|48.60|0.00|3.500|0.000,K56R,STAM290GA,48.6,0.0,3.5,5195.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
53,C07019,,|0200230841|38.10|0.00|1.200|0.000,,STKM13A,38.1,0.0,1.2,6000.0,NBC,Piping(Pre-End),Cold  Rolled Steel ,,False
57,C07029,HONDA,|0200225900|15.00|10.30|2.350|0.000,K0RA,STAM290GA,15.0,10.3,2.35,5900.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
58,C07032,HONDA,|0200226010|22.20|0.00|2.000|0.000,SP,STAM390G,22.2,0.0,2.0,757.0,IBC,Punching,"Pickled and Oiled,Hot rolled steel",,False
62,C07005,YAMAHA,|0200230119|22.20|0.00|1.200|0.000,,STKM11A,22.2,0.0,1.2,5670.0,IBC,Piping(Pre-End),Cold  Rolled Steel ,,False
63,C07038,TTVN,|0200220139|22.20|0.00|1.800|0.000,,STKM11A,22.2,0.0,1.8,428.9,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
64,C07046,HONDA,|0200220810|50.00|20.00|1.600|0.000,,STKM13A,50.0,20.0,1.6,918.0,IBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
